age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,country,salary,predicted_salary,id
"(43,54]",Self-emp-not-inc,83311,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,1
"(37,43]",Private,215646,High School,"(8,9]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2
"(25,29]",Private,338409,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,Other,Female,40,Non-US,0,0,3
"(29,33]",Private,45781,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,1,0,4
"(29,33]",Private,205019,Associate,"(10,12]",Spouseless,Sales,Not-in-family,Other,Male,>40,US,0,0,5
"(29,33]",Private,186824,High School,"(8,9]",Spouseless,Machine-op-inspct,Unmarried,White or Asian-Pac-Islander,Male,40,US,0,0,6
"(37,43]",Self-emp-not-inc,292175,Masters,"(13,16]",Spouseless,Exec-managerial,Unmarried,White or Asian-Pac-Islander,Female,>40,US,1,0,7
"(33,35]",Federal-gov,76845,<= 12th,"[1,8]",With Spouse,Agriculture,Wife or husband,Other,Male,40,US,0,0,8
"(54,61]",Local-gov,216851,Bachelors,"(12,13]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,9
"(37,43]",Private,367260,High School,"(8,9]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,10
"(21,23]",Local-gov,190709,Associate,"(10,12]",Spouseless,Tech and Secutity,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,11
"(29,33]",Federal-gov,59951,Some-college,"(9,10]",With Spouse,Administration,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,12
"(43,54]",Private,242406,<= 12th,"[1,8]",Spouseless,Machine-op-inspct,Unmarried,White or Asian-Pac-Islander,Male,40,Non-US,0,0,13
"(54,61]",Federal-gov,337895,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,Other,Male,40,US,1,1,14
"(23,25]",Private,32275,Some-college,"(9,10]",With Spouse,Exec-managerial,Wife or husband,Other,Female,40,US,0,0,15
"[17,21]",Private,226956,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,16
"(43,54]",Private,51835,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Female,>40,Non-US,1,1,17
"(43,54]",Self-emp-inc,109832,High School,"(8,9]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,18
"(37,43]",Private,237993,Some-college,"(9,10]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,19
"(43,54]",Private,216666,<= 12th,"[1,8]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,20
"(37,43]",Private,147372,High School,"(8,9]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,21
"(29,33]",Private,188146,High School,"(8,9]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,22
"(37,43]",Private,116632,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,23
"(35,37]",Private,155537,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,24
"(29,33]",Private,309974,Bachelors,"(12,13]",Spouseless,Sales,Child or other relative,Other,Female,40,US,0,0,25
"(21,23]",Private,211678,Some-college,"(9,10]",Spouseless,Machine-op-inspct,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,26
